fecha,anio,mes,linea,afluencia
2005-09-09,2005,Septiembre,Línea 4,NaN
2005-09-10,2005,Septiembre,Línea 4,NaN
2005-09-10,2005,Septiembre,Línea 2,NaN
2005-09-10,2005,Septiembre,Línea 1,145220
2005-09-10,2005,Septiembre,Línea 5,NaN
2005-09-10,2005,Septiembre,Línea 6,NaN
2005-09-10,2005,Septiembre,Línea 7,NaN
2005-09-10,2005,Septiembre,Línea 3,NaN
2005-09-11,2005,Septiembre,Línea 7,NaN
2005-09-11,2005,Septiembre,Línea 2,NaN
2005-09-11,2005,Septiembre,Línea 5,NaN
2005-09-11,2005,Septiembre,Línea 3,NaN
2005-09-11,2005,Septiembre,Línea 6,NaN
2005-09-11,2005,Septiembre,Línea 1,124012
2005-09-11,2005,Septiembre,Línea 4,NaN
2005-09-12,2005,Septiembre,Línea 7,NaN
2005-09-12,2005,Septiembre,Línea 4,NaN
2005-09-12,2005,Septiembre,Línea 6,NaN
2005-09-12,2005,Septiembre,Línea 5,NaN
2005-09-12,2005,Septiembre,Línea 3,NaN
2005-09-12,2005,Septiembre,Línea 1,258336
2005-09-12,2005,Septiembre,Línea 2,NaN
2005-09-13,2005,Septiembre,Línea 1,260033
2005-09-13,2005,Septiembre,Línea 5,NaN
2005-09-13,2005,Septiembre,Línea 2,NaN
2005-09-13,2005,Septiembre,Línea 7,NaN
2005-09-13,2005,Septiembre,Línea 6,NaN
2005-09-13,2005,Septiembre,Línea 4,NaN
2005-09-13,2005,Septiembre,Línea 3,NaN
2005-09-14,2005,Septiembre,Línea 7,NaN
2005-09-14,2005,Septiembre,Línea 6,NaN
2005-09-14,2005,Septiembre,Línea 3,NaN
2005-09-14,2005,Septiembre,Línea 1,282737
2005-09-14,2005,Septiembre,Línea 2,NaN
2005-09-14,2005,Septiembre,Línea 5,NaN
2005-09-14,2005,Septiembre,Línea 4,NaN
2005-09-15,2005,Septiembre,Línea 1,237573
2005-09-15,2005,Septiembre,Línea 5,NaN
2005-09-15,2005,Septiembre,Línea 7,NaN
2005-09-15,2005,Septiembre,Línea 3,NaN
2005-09-15,2005,Septiembre,Línea 4,NaN
2005-09-15,2005,Septiembre,Línea 6,NaN
2005-09-15,2005,Septiembre,Línea 2,NaN
2005-09-16,2005,Septiembre,Línea 1,131751
2005-09-16,2005,Septiembre,Línea 2,NaN
2005-09-16,2005,Septiembre,Línea 3,NaN
2005-09-16,2005,Septiembre,Línea 7,NaN
2005-09-16,2005,Septiembre,Línea 5,NaN
2005-09-16,2005,Septiembre,Línea 6,NaN
2005-09-16,2005,Septiembre,Línea 4,NaN
2005-09-17,2005,Septiembre,Línea 2,NaN
2005-09-17,2005,Septiembre,Línea 3,NaN
2005-09-17,2005,Septiembre,Línea 7,NaN
2005-09-17,2005,Septiembre,Línea 1,77255
2005-09-17,2005,Septiembre,Línea 5,NaN
2005-09-17,2005,Septiembre,Línea 6,NaN
2005-09-17,2005,Septiembre,Línea 4,NaN
2005-09-18,2005,Septiembre,Línea 2,NaN
2005-09-18,2005,Septiembre,Línea 7,NaN
2005-09-18,2005,Septiembre,Línea 1,84272
2005-09-18,2005,Septiembre,Línea 5,NaN
2005-09-18,2005,Septiembre,Línea 3,NaN
2005-09-18,2005,Septiembre,Línea 4,NaN
2005-09-18,2005,Septiembre,Línea 6,NaN
2005-09-19,2005,Septiembre,Línea 1,255389
2005-09-19,2005,Septiembre,Línea 5,NaN
2005-09-19,2005,Septiembre,Línea 6,NaN
2005-09-19,2005,Septiembre,Línea 7,NaN
2005-09-19,2005,Septiembre,Línea 2,NaN
2005-09-19,2005,Septiembre,Línea 4,NaN
2005-09-19,2005,Septiembre,Línea 3,NaN
2005-09-20,2005,Septiembre,Línea 3,NaN
2005-09-20,2005,Septiembre,Línea 7,NaN
2005-09-20,2005,Septiembre,Línea 5,NaN
2005-09-20,2005,Septiembre,Línea 6,NaN
2005-09-20,2005,Septiembre,Línea 1,264266
2005-09-20,2005,Septiembre,Línea 2,NaN
2005-09-20,2005,Septiembre,Línea 4,NaN
2005-09-21,2005,Septiembre,Línea 1,268742
2005-09-21,2005,Septiembre,Línea 4,NaN
2005-09-21,2005,Septiembre,Línea 7,NaN
2005-09-21,2005,Septiembre,Línea 5,NaN
2005-09-21,2005,Septiembre,Línea 6,NaN
2005-09-21,2005,Septiembre,Línea 2,NaN
2005-09-21,2005,Septiembre,Línea 3,NaN
2005-09-22,2005,Septiembre,Línea 5,NaN
2005-09-22,2005,Septiembre,Línea 7,NaN
2005-09-22,2005,Septiembre,Línea 2,NaN
2005-09-22,2005,Septiembre,Línea 4,NaN
2005-09-22,2005,Septiembre,Línea 6,NaN
2005-09-22,2005,Septiembre,Línea 1,264906
2005-09-22,2005,Septiembre,Línea 3,NaN
2005-09-23,2005,Septiembre,Línea 1,262771
2005-09-23,2005,Septiembre,Línea 7,NaN
2005-09-23,2005,Septiembre,Línea 4,NaN
2005-09-23,2005,Septiembre,Línea 2,NaN
2005-09-23,2005,Septiembre,Línea 5,NaN
2005-09-23,2005,Septiembre,Línea 3,NaN
2005-09-23,2005,Septiembre,Línea 6,NaN
2005-09-24,2005,Septiembre,Línea 4,NaN
2005-09-24,2005,Septiembre,Línea 3,NaN
2005-09-24,2005,Septiembre,Línea 1,174079
2005-09-24,2005,Septiembre,Línea 6,NaN
2005-09-24,2005,Septiembre,Línea 5,NaN
2005-09-24,2005,Septiembre,Línea 7,NaN
2005-09-24,2005,Septiembre,Línea 2,NaN
2005-09-25,2005,Septiembre,Línea 7,NaN
2005-09-25,2005,Septiembre,Línea 2,NaN
2005-09-25,2005,Septiembre,Línea 5,NaN
2005-09-25,2005,Septiembre,Línea 6,NaN
2005-09-25,2005,Septiembre,Línea 1,99919
2005-09-25,2005,Septiembre,Línea 4,NaN
2005-09-25,2005,Septiembre,Línea 3,NaN
2005-09-26,2005,Septiembre,Línea 5,NaN
2005-09-26,2005,Septiembre,Línea 1,252055
2005-09-26,2005,Septiembre,Línea 2,NaN
2005-09-26,2005,Septiembre,Línea 6,NaN
2005-09-26,2005,Septiembre,Línea 3,NaN
2005-09-26,2005,Septiembre,Línea 7,NaN
2005-09-26,2005,Septiembre,Línea 4,NaN
2005-09-27,2005,Septiembre,Línea 3,NaN
2005-09-27,2005,Septiembre,Línea 4,NaN
2005-09-27,2005,Septiembre,Línea 5,NaN
2005-09-27,2005,Septiembre,Línea 6,NaN
2005-09-27,2005,Septiembre,Línea 7,NaN
2005-09-27,2005,Septiembre,Línea 1,261186
2005-09-27,2005,Septiembre,Línea 2,NaN
2005-09-28,2005,Septiembre,Línea 1,288347
2005-09-28,2005,Septiembre,Línea 7,NaN
