fecha,mes,anio,linea,tipo_pago,afluencia
2021-01-15,Enero,2021,Línea 2,Prepago,108081
2021-01-15,Enero,2021,Línea 2,Gratuidad,7239
2021-01-15,Enero,2021,Línea 3,Prepago,104867
2021-01-15,Enero,2021,Línea 3,Gratuidad,8839
2021-01-15,Enero,2021,Línea 4,Prepago,56341
2021-01-15,Enero,2021,Línea 4,Gratuidad,2635
2021-01-15,Enero,2021,Línea 5,Prepago,100295
2021-01-15,Enero,2021,Línea 5,Gratuidad,10743
2021-01-15,Enero,2021,Línea 6,Prepago,96387
2021-01-15,Enero,2021,Línea 6,Gratuidad,8336
2021-01-15,Enero,2021,Línea 7,Prepago,103845
2021-01-15,Enero,2021,Línea 7,Gratuidad,1233
2021-01-16,Enero,2021,Línea 1,Prepago,199924
2021-01-16,Enero,2021,Línea 1,Gratuidad,10730
2021-01-16,Enero,2021,Línea 2,Prepago,81026
2021-01-16,Enero,2021,Línea 2,Gratuidad,5480
2021-01-16,Enero,2021,Línea 3,Prepago,80654
2021-01-16,Enero,2021,Línea 3,Gratuidad,6382
2021-01-16,Enero,2021,Línea 4,Prepago,52864
2021-01-16,Enero,2021,Línea 4,Gratuidad,2291
2021-01-16,Enero,2021,Línea 5,Prepago,77553
2021-01-16,Enero,2021,Línea 5,Gratuidad,8585
2021-01-16,Enero,2021,Línea 6,Prepago,72418
2021-01-16,Enero,2021,Línea 6,Gratuidad,5948
2021-01-16,Enero,2021,Línea 7,Prepago,79877
2021-01-16,Enero,2021,Línea 7,Gratuidad,1259
2021-01-17,Enero,2021,Línea 1,Prepago,116272
2021-01-17,Enero,2021,Línea 1,Gratuidad,7548
2021-01-17,Enero,2021,Línea 2,Prepago,47806
2021-01-17,Enero,2021,Línea 2,Gratuidad,3947
2021-01-17,Enero,2021,Línea 3,Prepago,51616
2021-01-17,Enero,2021,Línea 3,Gratuidad,4347
2021-01-17,Enero,2021,Línea 4,Prepago,21593
2021-01-17,Enero,2021,Línea 4,Gratuidad,1582
